database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	iBAT ZT_00 rep1	iBAT ZT_00 rep2	iBAT ZT_00 rep3	iBAT ZT_00 rep4	iBAT ZT_03 rep1	iBAT ZT_03 rep2	iBAT ZT_03 rep3	iBAT ZT_03 rep4	iBAT ZT_06 rep1	iBAT ZT_06 rep2	iBAT ZT_06 rep3	iBAT ZT_06 rep4	iBAT ZT_09 rep1	iBAT ZT_09 rep2	iBAT ZT_09 rep3	iBAT ZT_09 rep4	iBAT ZT_12 rep1	iBAT ZT_12 rep2	iBAT ZT_12 rep3	iBAT ZT_12 rep4	iBAT ZT_15 rep1	iBAT ZT_15 rep2	iBAT ZT_15 rep3	iBAT ZT_15 rep4	iBAT ZT_18 rep1	iBAT ZT_18 rep2	iBAT ZT_18 rep3	iBAT ZT_18 rep4	iBAT ZT_21 rep1	iBAT ZT_21 rep2	iBAT ZT_21 rep3	iBAT ZT_21 rep4
	C35H70O8P1N1			PE(30:0)	662.4779	[M-H]-															11.5249	10.9256	7.90019	10.8411	10.5224	10.9707	12.6088	9.17946	7.23178	6.91113	13.5753	8.92983	7.90002	6.65435	11.3012	10.4773	9.64912	8.89748	7.58532	10.5922	14.134	8.64282	12.9767	14.9281	4.06174	9.69867	10.1327	10.3943	4.78991	12.2456	10.538	8.49072
	C35H68O8P1N1			PE(30:1)	660.4623	[M-H]-															7.38593	6.38976	5.22754	9.2126	8.31788	10.5401	18.2701	13.2558	5.55282	5.37044	12.382	6.18141	5.83816	4.65876	10.5617	7.25945	11.6175	6.77875	3.54084	9.00448	11.6844	4.10272	8.59444	9.11677	4.2858	7.13884	6.75721	8.72151	4.5746	8.74617	7.30425	5.9558
	C35H66O8P1N1			PE(30:2)	658.4465	[M-H]-															0.573476	0.306244	0.332319	0.793203	0.601169	1.23994	2.32217	1.50427	0.852041	0.389802	1.00438	0.546411	0.614468	0.294071	0.747709	0.554244	0.762075	0.616991	0.168711	0.793778	0.824552		0.771055	0.945896	0.306352	0.388429	0.281585	0.469156	0.270345	0.822895	0.205246	0.527656
	C36H72O8P1N1			PE(31:0)	676.4933	[M-H]-															0.861872	0.485144	0.349692	0.643758	0.452742	0.506905	0.389935	0.39886	0.36181	0.279732	0.719561	0.655841	0.450644	0.37345	0.599912	0.497553	0.221033	0.382278	0.750941	0.508629	0.724374	0.841942	0.886695	0.928444	0.244535	0.559911	0.429391	0.515785	0.134897	0.614223	0.57172	0.301834
	C36H70O8P1N1			PE(31:1)	674.4777	[M-H]-															0.629165	0.603387	0.441856	0.852217	0.396348	0.705442	0.914349	0.749041	0.424055	0.252443	1.15802	0.57369	0.403783	0.335178	0.639432	0.634122	0.44413	0.530657	0.215159	0.718563	0.737176	0.278674	0.547944	0.860796	0.400959	0.763595	0.513528	0.923953	0.413344	0.683451	0.47498	0.445151
	C37H74O8P1N1			PE(32:0)	690.5089	[M-H]-															51.6587	48.0367	36.9001	38.8035	40.7976	40.3553	43.4101	30.8408	32.7534	28.8872	43.5393	36.8141	33.0056	27.9493	44.0885	40.2369	35.4893	31.1723	34.3382	48.3071	58.4029	35.5887	62.0742	66.4447	16.5866	38.0971	50.0263	41.6542	23.0505	47.2015	39.0274	31.4252
	C37H72O8P1N1			PE(32:1)	688.4932	[M-H]-															156.552	138.55	121.933	203.759	132.331	184.84	345.133	244.434	120.97	111.376	186.933	121.638	106.433	99.2925	216.122	118.537	205.656	102.61	69.858	160.366	195.206	67.3425	143.564	169.06	110.733	158.911	152.324	194.503	148.383	146.988	148.583	135.941
	C37H70O8P1N1			PE(32:2)	686.4777	[M-H]-															50.6807	45.0918	38.3908	63.3014	50.731	68.8254	153.929	110.843	42.8941	40.173	79.1582	40.5895	40.8347	35.2856	80.7829	43.7281	86.9794	43.0368	23.5704	61.4787	71.0744	21.5571	50.6685	60.051	32.4176	46.8657	49.1109	56.1166	42.7885	53.7552	51.7483	44.1577
	C37H68O8P1N1			PE(32:3)	684.4619	[M-H]-															1.49487	0.792176	1.08269	1.82753	1.18959	1.77274	2.59509	1.93643	1.3073	0.85022	2.25955	1.03069	1.0892	0.752747	1.6674	0.903344	1.48044	1.28894	0.884831	1.28077	1.43576	0.1361	0.93469	1.42931	0.570232	0.971196	1.36371	1.2715	0.896091	0.864176	1.46613	0.972449
	C38H76O8P1N1			PE(33:0)	704.5249	[M-H]-															1.25008	1.25117	0.738073	1.11738	0.65903	0.867897	0.657396	0.418784	0.647324	0.542517	1.21678	0.81039	0.868248	0.624082	0.713601	1.11841	0.413145	1.46117	0.706829	0.997645	1.42368	1.37518	1.37942	1.6428	0.281862	0.688041	1.00228	0.935053	0.750404	1.10052	0.421217	0.51586
	C38H74O8P1N1			PE(33:1)	702.5091	[M-H]-															5.61617	5.31998	3.14856	5.4274	4.40515	4.21594	5.34131	4.57568	3.58992	3.29523	5.38422	3.92818	3.41367	3.65432	4.45941	3.99259	5.62625	3.79566	3.54057	4.2826	5.10355	3.59283	4.85948	5.31731	2.52449	4.13382	4.68385	5.19833	4.65392	5.39746	4.58592	3.54083
	C38H72O8P1N1			PE(33:2)	700.4936	[M-H]-															5.56699	4.43384	2.86873	7.20912	3.73512	3.55698	4.55279	4.05587	5.38319	3.29621	5.76176	2.82062	3.74578	2.92353	4.65767	4.15081	4.03599	3.49991	3.29071	3.96482	4.52977	2.23616	4.00361	4.24422	3.70402	5.28019	5.65409	5.38469	5.24155	4.26919	5.06444	3.01963
	C38H68O8P1N1			PE(33:4)	696.4622	[M-H]-															0.834572	0.929301	0.65073	0.823009	0.522718	0.389615	0.0813529	0.343407	0.77616	0.689299	0.397477	0.457458	0.654823	0.464008	0.164963	0.853676	0.290926	0.475841	0.694387	0.367755	0.803926	0.280725	0.567934	0.69255	0.32647	0.784294	0.920111	0.804083	0.603318	0.468889	1.0778	0.196494
	C39H78O8P1N1			PE(34:0)	718.5402	[M-H]-															21.2984	21.5383	14.7556	16.9008	15.9485	14.9448	14.522	10.9067	15.2505	12.9562	18.3236	15.662	15.1587	13.2736	16.414	18.4229	12.5608	15.1305	17.095	17.552	22.2869	18.4887	22.8022	25.7142	7.46398	14.5659	20.8575	18.5692	12.4794	19.8859	15.9103	13.2182
	C39H76O8P1N1			PE(34:1)	716.5242	[M-H]-															273.391	305.248	235.107	296.576	231.989	267.547	401.483	294.73	220.493	192.837	262.787	213.914	192.062	193.837	295.128	219.574	316.232	188.268	206.584	271.246	315.568	162.522	283.685	300.964	183.335	233.482	332.599	358.292	284.443	266.714	267.741	225.255
	C39H74O8P1N1			PE(34:2)	714.5089	[M-H]-															1247.88	1085.85	730.031	1290.38	775.546	858.934	1211.64	936.126	1108.39	865.562	1050.67	789.126	845.072	715.009	1161.21	797.611	1110.94	837.068	814.381	861.135	977.674	462.488	786.032	890.006	587.528	878.632	1291.09	1044.58	1059.72	781.019	1191.26	711.629
	C39H72O8P1N1			PE(34:3)	712.4933	[M-H]-															305.556	278.185	208.877	322.099	260.013	284.756	488.758	367.314	278.505	237.112	346.394	205.787	265.333	191.486	358.681	240.707	401.843	254.013	164.928	326.108	336.521	137.265	265.724	287.624	151.102	224.71	320.158	243.59	235.56	249.215	329.432	194.868
	C39H70O8P1N1			PE(34:4)	710.4779	[M-H]-															9.82113	8.74895	5.44082	12.5689	7.51813	8.78279	18.4061	11.9819	9.31932	6.97374	11.4462	6.77775	7.94624	4.48505	10.5275	7.16995	10.929	7.0181	5.79612	10.1056	8.842	2.82844	5.92862	6.98877	4.59638	6.20712	8.93619	6.96371	6.95861	5.96938	10.8008	6.7904
	C40H78O8P1N1			PE(35:1)	730.5402	[M-H]-															7.45772	7.41739	5.46618	5.33428	5.8268	4.96827	5.72798	4.77841	4.32149	4.04336	6.29796	4.83554	4.58555	5.28402	4.66907	5.02022	7.22443	4.94567	7.22662	4.98128	7.07903	5.81582	8.60881	7.22486	3.46889	4.84033	7.1547	7.73841	7.9071	6.27991	5.23752	3.79141
	C40H76O8P1N1			PE(35:2)	728.5248	[M-H]-															20.5058	20.0051	11.8764	17.3566	13.3865	11.6609	10.6925	11.034	14.2352	12.787	18.3057	13.4578	14.8014	15.823	13.765	15.8239	17.1452	19.1367	21.3755	13.0583	17.3221	16.3808	16.7007	18.4964	8.3429	12.1532	17.2533	16.8755	16.8451	16.2179	18.1154	9.9892
	C40H74O8P1N1			PE(35:3)	726.5093	[M-H]-															9.52698	8.62645	4.59575	7.52647	5.19536	5.42406	5.90515	5.30893	5.91518	6.41533	8.8574	4.92458	6.74844	6.43975	7.14635	6.69343	7.35667	6.92921	7.30953	7.20428	7.57625	6.69438	7.97088	6.90707	3.43695	5.26601	7.80979	5.76866	5.33852	6.90763	9.07692	4.10385
	C41H80O8P1N1			PE(36:1)	744.5555	[M-H]-															144.7	208.569	158.981	131.132	142.786	136.292	177.214	121.635	112.133	106.816	129.488	108.975	108.681	125.744	122.549	118.632	187.656	110.741	191.061	126.18	161.299	113.877	221.846	160.861	93.3104	98.1831	239.281	222.479	192.794	134.746	131.183	109.396
	C41H78O8P1N1			PE(36:2)	742.5399	[M-H]-															971.689	1035.86	662.096	826.102	660.785	643.385	698.622	586.014	848.424	713.094	861.197	690.892	738.989	781.307	786.488	811.184	836.12	878.098	958.723	683.042	885.274	704.52	842.291	839.505	443.85	613.978	1079.31	921.293	861.15	758	894.442	563.172
	C41H76O8P1N1			PE(36:3)	740.5244	[M-H]-															956.702	1002.51	628.33	857.593	717.001	687.017	877.374	717.657	855.893	737.002	880.62	658.744	842.603	716.627	901.838	777.745	1026.53	826.147	861.456	862.51	935.342	632.068	791.226	841.35	429.954	593.15	1059.91	739.985	712.625	777.374	1057.54	543.8
	C41H74O8P1N1			PE(36:4)	738.5089	[M-H]-															1027.58	870.628	518.337	1077.19	645.242	673.069	966.486	732.383	917.715	747.989	919.725	597.752	810.283	498.88	960.516	697.781	979.172	694.42	764.332	955.675	838.771	384.494	574.692	673.136	419.115	584.374	897.953	565.224	705.206	483.795	934.932	594.78
	C41H72O8P1N1			PE(36:5)	736.4934	[M-H]-															117.584	97.5274	66.7656	115.345	94.7814	94.1049	180.958	117.392	106.116	85.2784	152.724	73.508	119.569	65.9961	145.944	112.24	140.24	94.261	74.9302	165.922	133.348	69.0747	87.7685	98.0904	38.0902	62.1817	87.1437	57.6875	63.6404	72.1416	112.523	77.0692
	C41H70O8P1N1			PE(36:6)	734.478	[M-H]-															8.28796	6.42164	3.69059	7.45786	5.81195	7.30107	12.7308	8.41853	7.14702	5.8168	10.039	4.735	6.49227	3.51756	10.0847	5.9835	8.70155	5.83569	5.07573	9.76812	6.35682	2.56476	5.40059	5.51409	2.37568	3.48985	6.095	3.08414	3.15223	3.54464	7.32412	5.44913
	C42H82O8P1N1			PE(37:1)	758.5707	[M-H]-															2.47271	3.07554	1.73746	1.524	2.12971	1.5733	1.36134	1.30128	1.45754	1.29146	1.91029	1.61484	1.95604	2.00383	1.19096	1.77642	2.12814	1.71358	2.8058	1.85167	2.59775	2.45267	3.41674	2.97063	0.775888	1.42521	1.79346	2.32769	2.41471	2.25528	1.73262	1.12439
	C42H80O8P1N1			PE(37:2)	756.5555	[M-H]-															12.5997	11.2909	6.60986	6.9077	7.83886	6.66567	5.33101	5.02706	7.8605	6.87479	9.74665	8.3176	8.65923	10.4401	5.27395	8.66146	8.90866	9.92219	11.6155	7.03258	12.1945	12.3297	11.0078	11.2452	4.37999	7.23281	8.39468	8.30041	8.54405	11.0212	9.26214	4.99125
	C42H76O8P1N1			PE(37:4)	752.524	[M-H]-															24.3286	21.7558	10.3824	18.4504	14.0209	10.7301	11.8873	10.5158	14.8477	14.4064	22.4894	12.2622	17.7653	13.8952	14.0501	15.9606	15.5086	21.1533	22.1527	17.6629	18.2267	16.4815	17.0734	18.1643	7.85395	11.4683	15.9649	11.5075	15.8979	14.6955	17.801	9.20203
	C42H74O8P1N1			PE(37:5)	750.5089	[M-H]-															4.05841	3.14184	1.0363	2.86593	2.52016	2.08344	2.24475	1.94541	2.75934	2.25567	4.15246	1.86837	3.48732	1.43761	3.26306	2.65029	3.82637	4.03607	3.82105	4.06157	3.63063	2.85922	2.33264	2.91619	0.490169	0.655415	1.81387	1.04318	1.72484	1.81885	3.53337	0.749195
	C43H84O8P1N1			PE(38:1)	772.5866	[M-H]-															8.35438	12.833	8.7415	7.07258	8.28679	6.93583	6.32022	4.17547	5.53813	5.9101	6.09319	5.66162	6.08161	8.29006	4.70194	7.51207	8.75189	7.73203	12.4005	5.41236	8.24899	9.08795	13.7374	9.18858	4.70694	5.92552	15.4635	12.3652	11.2534	9.48783	7.8438	5.12825
	C43H82O8P1N1			PE(38:2)	770.5709	[M-H]-															25.8927	30.8575	20.0373	20.4171	23.2042	20.0862	17.4907	16.8102	16.3391	18.0923	21.5658	18.8896	20.1109	22.8541	15.6554	21.5422	22.7619	22.5598	26.0176	19.697	26.2028	24.233	32.3924	29.6484	12.7575	18.2621	32.3392	27.3783	21.9213	30.0665	25.3863	16.5935
	C43H80O8P1N1			PE(38:3)	768.555	[M-H]-															137.734	149.24	95.5816	217.657	108.187	93.0547	94.0044	93.4848	104.554	94.0388	121.466	85.6832	107.023	106.119	100.593	117.446	112.458	121.661	135.527	119.126	144.179	110.2	131.515	139.964	57.283	77.206	140.993	99.1496	86.0504	108.455	125.262	128.395
	C43H78O8P1N1			PE(38:4)	766.5395	[M-H]-															2163.24	2029.51	1149.76	2059.57	1363.66	1222.75	1561.8	1219.09	1920.35	1615.46	1916.94	1182.62	1782.61	1354.31	1728.32	1635.8	1811.74	1821.65	2031.94	1750.69	1906.6	1299.45	1490.54	1576.78	887.809	1162.89	2113.36	1260.3	1755.34	1054.94	1973.12	1131.99
	C43H76O8P1N1			PE(38:5)	764.524	[M-H]-															835.642	773.667	430.6	819.812	610.339	554.005	860.514	620.387	758.535	615.488	965.521	522.798	831.759	485.559	876.723	742.06	840.401	693.34	769.082	982.112	829.195	544.254	577.574	644.876	285.057	448.337	636.352	431.01	482.684	453.797	818.047	488.195
	C43H74O8P1N1			PE(38:6)	762.5085	[M-H]-															1066.8	949.475	483.829	1071.53	720.692	710.78	958.939	779.914	942.893	765.791	1048.37	583.298	800.408	413.685	972.196	683.884	862.444	728.174	831.34	911.208	752.228	323.405	582.452	680.318	383.805	552.878	854.921	494.498	578.124	384.949	868.799	592.693
	C43H72O8P1N1			PE(38:7)	760.4929	[M-H]-															88.947	72.1899	46.2368	90.1588	72.4514	86.0713	173.943	116.493	84.7631	66.6195	144.906	61.8849	86.415	36.9034	137.825	78.2179	101.391	68.587	56.1862	142.372	81.334	31.5365	57.7422	67.4419	23.3107	48.6524	50.9551	36.9078	34.7878	47.6615	77.4197	58.9885
	C44H80O8P1N1			PE(39:4)	780.5554	[M-H]-															31.375	26.5837	13.1825	18.4617	18.7747	14.9088	14.9365	14.6305	17.77	19.409	27.8383	17.5953	23.3435	17.4766	17.3963	18.8411	20.1365	24.4426	27.2847	20.4603	27.5763	22.0787	23.7341	25.2848	9.26044	15.2101	17.9615	14.9411	20.6682	16.7863	17.1321	11.9952
	C44H78O8P1N1			PE(39:5)	778.5397	[M-H]-															6.84512	5.72764	2.73382	5.79834	4.19292	4.14043	4.46742	3.94266	4.22279	4.85019	7.37378	3.8114	4.31096	3.31484	4.88804	4.80009	5.183	5.1423	5.57068	5.57837	6.06393	2.89837	4.23761	5.41198	2.3083	3.54941	3.88637	4.24407	4.52651	3.17371	4.86126	3.32011
	C44H76O8P1N1			PE(39:6)	776.5241	[M-H]-															22.7869	21.3037	9.73997	17.2079	15.6271	12.17	10.365	10.797	15.8524	14.4276	25.974	12.6181	18.2029	11.3073	15.1864	16.9279	13.8653	19.3265	24.0408	15.0405	22.1317	14.4423	16.8155	19.3738	6.75991	11.6911	12.7574	11.4661	13.1128	11.0675	16.0404	10.0969
	C44H74O8P1N1			PE(39:7)	774.5084	[M-H]-															2.85384	1.65205	0.730715	1.56897	2.08805	1.08848	2.97271	2.18708	2.08787	1.48157	4.90126	1.17153	2.51303	0.300071	3.23613	1.44286	1.05006	2.60993	2.58027	3.23968	1.16272	1.81925	1.67924	2.50662	0.201187	0.690925	1.05842	0.582264	0.808143	1.07406	1.62572	0.923044
	C45H88O8P1N1			PE(40:1)	800.6177	[M-H]-															5.19985	13.1751	9.49213	3.04893	9.0133	6.04803	7.1264	3.67411	2.92863	3.31021	1.80084	3.53753	4.23416	5.88056	2.64134	3.34081	12.038	4.82369	12.1786	3.6184	6.04597	4.75809	16.3477	5.60507	3.51714	2.56736	18.5525	12.1398	9.90583	4.99954	4.49021	2.78118
	C45H86O8P1N1			PE(40:2)	798.6021	[M-H]-															8.18553	13.3864	9.501	6.21272	10.3293	7.63824	7.41909	5.28171	5.02341	6.02384	6.57738	5.10603	6.74207	8.46649	5.12715	6.08123	11.3569	7.38719	13.7403	6.66563	9.12528	8.40071	16.7765	9.99472	4.32887	4.99554	15.7596	12.3793	10.6085	9.32236	7.36959	5.06497
	C45H84O8P1N1			PE(40:3)	796.5867	[M-H]-															5.86006	6.96264	4.62271	5.15122	6.3271	4.7847	3.62407	3.90876	4.10462	4.2571	5.53572	4.74002	5.23716	6.72969	4.33989	6.21219	6.12208	7.19649	7.53505	4.92257	6.31962	6.84761	7.32247	6.30592	2.78018	4.39795	6.47938	5.92681	5.22113	6.42351	5.60164	3.88798
	C45H82O8P1N1			PE(40:4)	794.5709	[M-H]-															86.8711	91.0862	63.4413	74.7395	71.5166	70.4346	76.831	69.0809	69.9284	65.768	80.702	60.0087	69.6608	57.3097	71.416	70.3251	85.6605	67.5984	90.0726	81.7543	87.4325	49.7464	71.3312	80.4111	38.0675	52.1087	90.7744	69.2916	78.1631	55.0872	74.0166	58.404
	C45H80O8P1N1			PE(40:5)	792.5552	[M-H]-															222.425	196.584	130.859	265.342	175.73	176.169	198.184	164.368	177.646	147.421	232.467	139.36	160.041	112.684	178.848	167.434	186.142	157.755	189.966	204.388	201.096	110.885	151.165	171.714	122.049	175.733	189.017	204.461	193.491	112.203	184.031	135.479
	C45H78O8P1N1			PE(40:6)	790.5397	[M-H]-															1422.64	1334.29	755.098	1404.27	1019.7	1019.03	1183.13	904.35	1269.62	1014.27	1593.12	816.298	1098.39	732.152	1199.36	1152.06	1069.71	1093.11	1303.89	1149.14	1171.98	659.746	968.654	1044.91	539.437	814.817	1164.12	877.296	934.97	677.078	1139.57	761.037
	C45H76O8P1N1			PE(40:7)	788.5242	[M-H]-															634.478	552.553	277.588	593.698	441.732	480.653	849.649	566.18	632.304	481.339	929.369	426.622	607.095	250.403	818.688	516.809	541.728	450.835	563.503	805.608	489.156	233.321	339.868	427.274	140.948	287.99	373.18	248.989	243.398	266.188	554.551	347.792
	C45H74O8P1N1			PE(40:8)	786.5086	[M-H]-															150.512	110.46	53.3994	145.003	89.4501	117.964	196.92	115.34	149.346	103.739	217.031	90.8677	113.554	41.8408	163.611	96.6527	88.2724	88.2034	109.043	159.241	96.4135	37.7801	53.2386	82.2621	27.1493	56.9289	68.8654	43.9151	56.7418	48.0025	101.151	73.9962
	C45H72O8P1N1			PE(40:9)	784.4929	[M-H]-															5.77463	4.67211	1.30973	5.37344	4.03346	5.40108	9.16054	5.62609	6.20265	3.33696	8.91296	3.86964	4.47899	0.779406	6.36866	3.34362	3.59686	3.45843	3.81489	6.26246	3.09958	0.520136	1.49404	2.69763	0.939999	2.33707	3.28996	1.44873	0.992246	1.70211	4.95727	2.56957
	C46H90O8P1N1			PE(41:1)	814.634	[M-H]-															1.40955	3.97605	2.55903	1.10636	2.32636	1.31687	1.33278	0.901339	0.69732	1.14916	0.952001	1.25813	1.28512	1.5498	0.49704	0.560299	3.00208	1.67484	3.19999	0.649653	1.66252	1.25677	4.53256	2.01072	0.845885	0.812597	3.99961	3.21442	2.50159	1.41077	1.30015	0.652844
	C46H82O8P1N1			PE(41:5)	806.571	[M-H]-															3.04617	3.27487	1.89211	2.55487	2.80698	2.14902	1.76025	1.21685	1.09926	1.66971	2.67625	1.99441	2.15622	1.54945	1.293	1.84243	2.33435	2.33258	2.11615	2.93079	2.66043	1.87822	2.50904	1.97272	1.22673	1.61679	1.31465	1.75635	2.65027	1.55893	1.56261	1.55747
	C46H80O8P1N1			PE(41:6)	804.5555	[M-H]-															16.7275	14.8556	7.35627	11.139	13.1038	11.1799	9.85965	9.56885	10.6315	9.50369	21.3433	9.20931	12.0529	7.55538	10.4874	12.5532	10.6968	12.2536	15.1009	13.1606	13.5526	9.08127	12.0591	13.279	4.38144	8.27078	7.0714	7.5648	10.4106	9.11306	8.76119	6.95068
	C47H92O8P1N1			PE(42:1)	828.6496	[M-H]-															7.25633	21.6569	16.853	4.20452	14.1836	10.3502	11.7145	4.94429	3.73014	4.82915	4.68747	4.40946	5.76888	8.58426	3.64859	4.99598	21.3753	6.66986	20.7879	5.55221	8.28049	7.41405	30.8406	9.2285	5.26124	3.64574	32.3726	22.3727	20.6081	8.22109	6.39124	3.96518
	C47H90O8P1N1			PE(42:2)	826.634	[M-H]-															3.42414	9.83346	7.77592	2.09852	7.38957	4.80595	4.43905	3.26178	2.32327	3.04264	3.82445	2.64773	3.33925	4.87968	2.12185	3.4989	9.41996	4.36201	9.84211	2.90221	5.1521	4.68503	13.3146	4.59256	2.99205	1.7692	13.742	9.04851	8.79069	4.29579	2.97735	2.62194
	C47H88O8P1N1			PE(42:3)	824.6181	[M-H]-															3.178	5.29019	4.32455	1.86081	4.90486	2.04671	2.21608	2.0241	1.24862	1.91493	3.12172	2.04851	2.77355	4.21418	1.5774	1.62579	5.36554	3.82196	5.94627	1.68261	3.62835	3.78003	8.32612	3.82659	1.69431	1.95066	6.6216	4.64689	6.16997	3.98432	2.67352	1.08362
	C47H86O8P1N1			PE(42:4)	822.6028	[M-H]-															8.02608	8.24615	4.90153	7.25984	5.72073	5.0206	6.76142	5.56639	6.52758	6.18272	7.5867	5.02195	6.56153	4.64009	5.7143	5.02781	8.00673	6.15101	8.35053	6.9399	7.44771	4.66888	5.91761	6.88796	2.93645	4.35941	7.52357	6.33994	5.97764	4.24945	7.70516	4.97454
	C47H84O8P1N1			PE(42:5)	820.5871	[M-H]-															11.2825	10.4066	6.16029	9.64568	9.64456	7.84354	9.11566	6.84545	8.1736	7.25299	9.83742	6.92568	10.4165	7.68936	8.23085	8.79511	11.028	10.032	13.7306	9.44895	9.7282	8.0467	9.08823	9.02442	3.90672	5.58627	10.5329	7.7027	9.77093	8.12964	10.5213	6.1629
	C47H82O8P1N1			PE(42:6)	818.5713	[M-H]-															12.9506	11.105	6.08273	11.8752	9.89426	10.3188	13.3177	9.83433	10.5229	9.79377	13.947	8.67564	9.21399	4.5985	11.8111	7.82125	9.98784	7.23671	11.4667	12.1023	11.0125	4.73051	7.55532	9.20569	3.82327	6.26189	9.20765	7.3873	7.86762	6.35012	9.61563	7.31375
	C47H80O8P1N1			PE(42:7)	816.5558	[M-H]-															18.7629	15.8508	6.97394	18.361	14.6703	16.0207	24.4556	14.7994	17.8977	14.5984	29.4421	12.7544	18.2969	8.19715	20.7461	14.2994	14.5543	12.9155	18.6677	20.8441	14.678	6.0295	9.06009	13.129	4.19318	7.80657	12.4916	8.0199	8.93603	8.07307	15.0783	9.50068
	C47H78O8P1N1			PE(42:8)	814.5402	[M-H]-															8.17624	5.65228	2.69847	10.4639	5.11084	7.2899	14.1353	6.50121	8.30099	5.76581	14.488	5.55529	7.90985	2.36964	11.4303	5.77578	6.72738	4.38546	7.26852	11.0326	6.39114	2.11272	2.76928	4.07024	1.72882	3.08624	3.94634	2.82051	4.86769	2.01814	5.95722	3.69016
	C47H76O8P1N1			PE(42:9)	812.5244	[M-H]-															5.65284	3.17181	1.57296	7.81692	3.32296	4.41653	10.8269	4.66878	7.1865	3.37287	11.1294	3.48913	4.33228	0.632819	7.80769	3.56305	3.23583	1.84118	3.83286	8.64449	3.49628	0.273541	0.466364	2.01214	1.11039	1.13679	1.81821	1.44261	1.7913	0.581957	3.45843	2.64743
	C47H74O8P1N1			PE(42:10)	810.509	[M-H]-															18.7262	10.5082	4.18571	22.0285	6.55557	10.9287	35.3308	12.4171	21.625	9.53906	33.1462	7.53696	11.8461	2.63934	26.3792	9.5239	7.21545	6.9883	12.473	26.512	9.69127	1.35858	2.52417	7.01733	2.48391	4.28043	5.06002	3.07285	5.52331	1.68331	9.84041	7.80932
	C49H90O8P1N1			PE(44:4)	850.6339	[M-H]-															4.71915	4.52626	1.82729	4.02966	2.85501	2.65274	4.86519	3.25125	3.34754	3.37947	4.65111	2.70796	3.21926	1.44678	3.75257	2.60347	4.02445	3.19763	4.07102	4.30676	3.21444	1.12041	2.83161	2.70611	1.24099	1.74957	4.20273	2.73973	1.87187	1.48845	4.68015	2.24389
	C49H88O8P1N1			PE(44:5)	848.6182	[M-H]-															3.51937	3.7682	1.99967	3.51845	3.55496	2.39601	4.02073	2.27103	3.396	3.27029	3.97678	2.85532	3.11135	3.11082	2.6013	2.47024	4.16373	4.47949	4.74173	3.26463	3.23259	2.17111	3.75216	3.50451	1.1827	1.31226	3.91164	1.83514	3.85486	1.9849	3.02424	1.98855
	C49H86O8P1N1			PE(44:6)	846.6025	[M-H]-															4.22321	3.33478	1.7751	3.87869	2.9581	2.4118	3.70862	2.88941	4.07438	3.6747	4.03946	2.97621	3.54509	1.37646	3.43928	2.41466	3.51956	2.80535	4.02205	3.49844	3.02316	1.87131	1.9084	2.69684	0.697439	1.78878	3.50802	1.47516	2.74247	1.05612	2.9028	2.09502
	C49H84O8P1N1			PE(44:7)	844.5868	[M-H]-															5.82952	3.30605	1.48181	5.00455	3.86175	2.76856	4.97151	3.3125	4.31083	3.05565	4.2308	3.00452	3.66031	2.95348	3.97382	4.52257	4.10456	4.24862	6.49729	3.70218	2.7825	1.13185	2.3184	2.96052	0.573737	1.70595	3.4345	1.87092	3.64042	1.89848	3.68246	1.9026
	C49H78O8P1N1			PE(44:10)	838.54	[M-H]-															5.58473	2.94912	1.00698	8.28345	5.51498	8.18221	15.9298	4.2683	8.46825	3.93525	10.3523	2.86138	4.33869	0.807829	10.0218	3.10629	5.79172	1.87933	5.65664	9.5204	3.24365	0.322521	0.684574	1.68551	0.990622	0.964112	2.17951	1.78746	3.26485	0.647726	3.50981	1.53113
	C49H76O8P1N1			PE(44:11)	836.5243	[M-H]-															2.95504	1.02143	0.249338	3.55163	1.5852	2.81624	9.22152	2.62658	4.3956	1.37743	5.32038	0.811911	2.07711	0.0718955	5.15907	0.646908	1.25707	0.488627	1.80296	5.33156	1.48417	0.0885	0.0742429	0.717635	0.188686	0.43626	0.537361	0.594277	1.06989	0.237167	0.984087	0.875482
	C49H74O8P1N1			PE(44:12)	834.5092	[M-H]-															6.41463	1.97253	0.688767	8.99489	1.22524	3.50809	13.0573	4.16686	8.35381	2.93401	14.2407	2.92024	3.78887	0.515644	7.90304	2.20643	1.58523	1.43714	4.62842	9.91768	2.52052	0.277966	0.187169	1.54117	0.5578	0.928298	1.31052	0.513306	1.32245	0.164358	3.32232	2.31026
	C35H70O7P1N1			PE(O-30:1)	646.4828	[M-H]-															2.14064	2.12701	1.41769	1.85991	2.11306	1.37463	1.04654	0.963225	1.41374	1.29603	2.57247	1.67344	1.70784	1.17574	1.87024	2.28216	1.65849	1.96639	1.88473	2.03152	1.61453	1.44807	2.35325	1.77786	0.52202	1.63454	1.67647	1.57968	1.16248	1.58926	1.92291	1.14886
