database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	iBAT ZT_00 rep1	iBAT ZT_00 rep2	iBAT ZT_00 rep3	iBAT ZT_00 rep4	iBAT ZT_03 rep1	iBAT ZT_03 rep2	iBAT ZT_03 rep3	iBAT ZT_03 rep4	iBAT ZT_06 rep1	iBAT ZT_06 rep2	iBAT ZT_06 rep3	iBAT ZT_06 rep4	iBAT ZT_09 rep1	iBAT ZT_09 rep2	iBAT ZT_09 rep3	iBAT ZT_09 rep4	iBAT ZT_12 rep1	iBAT ZT_12 rep2	iBAT ZT_12 rep3	iBAT ZT_12 rep4	iBAT ZT_15 rep1	iBAT ZT_15 rep2	iBAT ZT_15 rep3	iBAT ZT_15 rep4	iBAT ZT_18 rep1	iBAT ZT_18 rep2	iBAT ZT_18 rep3	iBAT ZT_18 rep4	iBAT ZT_21 rep1	iBAT ZT_21 rep2	iBAT ZT_21 rep3	iBAT ZT_21 rep4
	C36H70O8P1N1			PC(28:1)	676.4907	[M+H]+															0.892233	0.719984	0.693852	1.34309	0.958552	1.3721	1.69595	1.4519	0.861134	0.307775	1.21287	0.637076	0.510195	0.693824	0.925684	0.871396	0.888967	0.940739	0.331199	0.856649	1.34123	0.559606	1.09073	1.18608	0.553467	0.948435	0.73999	1.0109	0.79764	0.855136	0.697918	0.413617
	C37H74O8P1N1			PC(29:0)	692.5212	[M+H]+															1.82589	1.9571	1.37836	2.12168	1.89949	1.95095	1.53096	1.5511	1.28742	1.48477	2.37157	1.27011	1.61877	1.46606	1.58842	2.39535	1.6434	1.86044	2.12545	1.77704	1.88436	2.2671	2.26005	2.25044	1.023	1.86836	1.99209	1.98163	1.56096	2.17735	1.55704	1.11197
	C38H76O8P1N1			PC(30:0)	706.537	[M+H]+															247.059	216.848	168.939	220.736	240.053	233.501	234.752	192.831	164.466	167.457	290.612	177.156	206.581	172.967	237.348	254.725	243.137	223.383	215.098	241.845	287.553	222.742	290.666	281.664	96.6978	209.079	224.316	247.89	158.26	263.324	226.863	166.945
	C38H74O8P1N1			PC(30:1)	704.5214	[M+H]+															32.0692	23.5822	25.5839	43.7707	34.6066	48.6582	64.1988	57.7305	25.2824	25.1358	50.8189	25.0538	26.572	26.2246	38.9723	30.8735	50.6514	33.4299	17.0075	38.9623	43.6124	22.284	34.6651	38.5515	23.478	35.4486	26.5627	41.8985	24.8143	41.1277	29.3767	28.7738
	C38H72O8P1N1			PC(30:2)	702.5059	[M+H]+															2.91462	1.91199	2.55007	3.36041	2.85528	3.56999	4.50463	4.33228	3.31647	1.99185	3.71474	1.43467	2.18403	2.31198	2.91444	2.73621	3.10288	2.47574	1.3228	2.26427	2.53489	1.77204	2.60898	2.91916	1.68918	2.91213	3.31331	2.77743	2.18615	3.10795	2.4166	2.06847
	C39H78O8P1N1			PC(31:0)	720.5529	[M+H]+															19.3437	17.2587	11.953	15.2415	18.9445	13.6623	9.80834	9.06787	11.5783	11.2722	19.3044	13.0436	15.3112	15.1107	12.4196	18.8578	14.0185	17.0368	22.1879	14.175	15.6901	23.3113	22.7662	19.509	7.72864	14.0939	16.3131	16.3694	19.0203	18.7655	16.4252	9.43037
	C39H76O8P1N1			PC(31:1)	718.5373	[M+H]+															2.87096	2.33328	2.42443	4.08689	3.75955	3.47738	3.13596	3.50825	2.10891	2.28503	4.41125	2.39628	2.88838	2.58911	2.66912	3.21233	4.01968	3.39621	2.82142	3.19187	3.30576	4.09527	3.7256	3.87088	2.13099	3.58615	2.58947	4.24349	3.0312	3.95664	3.23128	2.21398
	C39H74O8P1N1			PC(31:2)	716.5212	[M+H]+															2.24354	1.1983	2.37442	4.16848	1.31373	1.6543	1.65262	1.41819	3.67079	1.65862	1.72108	0.578883	0.957119	1.05999	1.75746	1.35106	1.4978	0.337404	0.650543	1.1377	1.1182	0.316431	2.1462	1.30313	2.72126	4.01479	3.72735	2.84865	3.14139	2.19426	2.93173	1.69242
	C40H80O8P1N1			PC(32:0)	734.5682	[M+H]+															831.439	797.084	622.309	646.344	745.304	685.89	613.442	484.034	620.441	601.969	788.409	605.045	741.713	681.86	743.933	794.496	688.027	710.784	826.796	800.705	825.806	838.247	1018.56	950.948	335.949	596.826	826.301	690.472	695.182	842.187	825.353	537.069
	C40H78O8P1N1			PC(32:1)	732.5527	[M+H]+															520.875	441.24	472.75	675.574	520.192	668.213	963.798	861.139	445.18	453.731	642.4	425.784	461.055	452.597	708.237	466.876	786.401	459.46	297.985	579.256	621.499	344.733	534.76	567.255	501.055	662.299	510.039	742.075	593.573	607.391	610.259	573.086
	C40H76O8P1N1			PC(32:2)	730.5372	[M+H]+															105.623	89.654	78.4377	118.571	114.12	127.874	163.008	151.836	93.7789	95.5553	154.489	92.4212	105.941	88.4311	130.302	107.963	153.584	111.8	79.678	128.063	122.245	83.9296	103.874	106.002	71.0123	99.3461	95.7518	111.367	82.1774	128.612	121.269	97.1101
	C40H74O8P1N1			PC(32:3)	728.5213	[M+H]+															4.77007	3.20019	2.80782	5.12148	4.48195	5.72694	6.39864	5.38675	3.92567	3.70452	5.92283	3.09343	4.08051	3.41037	4.18833	4.03161	4.87575	3.66164	2.69372	4.33656	4.8794	3.8628	4.18719	4.77853	2.69807	4.20992	4.26768	3.95079	2.97113	5.58705	4.91625	3.84813
	C41H82O8P1N1			PC(33:0)	748.5842	[M+H]+															7.71865	7.16688	5.00833	5.50435	7.26763	5.46004	3.73555	3.77696	4.79485	5.62563	7.22083	5.44491	6.45808	6.72353	5.69158	7.06192	6.00152	6.69113	9.38191	5.92706	6.63953	11.2192	9.30548	7.97282	3.49988	5.23686	6.28754	6.96214	8.5469	8.59816	6.93823	4.05682
	C41H80O8P1N1			PC(33:1)	746.5686	[M+H]+															18.5675	17.4395	14.11	17.9813	18.3243	15.8897	16.07	15.2958	13.2286	13.129	19.0968	13.1217	16.0597	17.5263	17.2369	16.0722	17.977	16.6454	15.1791	15.7036	15.64	19.6874	19.4877	17.8233	13.1377	17.2613	16.7263	20.7628	19.6859	20.1374	20.2721	13.9747
	C41H78O8P1N1			PC(33:2)	744.5527	[M+H]+															12.243	10.509	7.73165	11.4182	11.1234	8.57941	7.90174	8.72442	9.79737	9.6081	12.2789	9.13576	12.1859	11.4915	9.56602	11.4652	10.0293	11.1884	11.8297	9.18545	9.11165	12.7087	10.7812	10.1443	7.17323	11.2426	10.8797	10.6933	10.7685	12.6362	13.9448	7.22538
	C41H76O8P1N1			PC(33:3)	742.5371	[M+H]+															1.97372	1.09138	1.72646	1.84312	1.19716	1.45447	1.06091	0.999281	2.53798	0.367272	2.01888	1.01606	1.22581	1.17544	1.54382	2.04258	1.36335	0.819979	1.33311	1.4329	0.875869	1.63106	1.03867	1.6053	2.27724	2.16329	2.64527	1.96364	2.45243	1.65001	2.48572	1.20846
	C42H84O8P1N1			PC(34:0)	762.6008	[M+H]+															57.2572	55.3948	41.6474	38.6611	55.1918	44.9073	37.1352	32.7558	38.0384	43.9022	51.3262	39.5111	50.0979	48.0012	39.9169	52.1557	41.6784	51.3251	62.323	56.7232	57.9344	73.8296	67.3917	67.7151	27.4284	37.0781	51.8648	51.8436	40.7452	56.0024	46.1764	40.7737
	C42H82O8P1N1			PC(34:1)	760.5853	[M+H]+															1460.02	1325.42	1285.64	1608.61	1325.27	1424.8	1729.6	1534.2	1400.46	1342.59	1500.16	1143.4	1361.12	1298.23	1866.4	1266.19	1843.8	1092.65	1288.15	1487.58	1403.29	1001.27	1421.07	1317.4	1296.46	1404.29	1765.65	1739.79	1858.97	1255.47	1805.13	1446.64
	C42H80O8P1N1			PC(34:2)	758.5697	[M+H]+															2786.71	2509.08	1912.69	2559.46	2377.64	2195.4	2019.63	2097.3	2638.63	2498.12	2828.44	2202.69	2848.06	2523.58	2847.77	2564.74	2654.13	2527.18	2335.84	2467	2338.65	2189.06	2274.51	2247.62	1557.42	2279.51	2865.32	2278.03	2325.22	2612.77	3338.44	2185.37
	C42H78O8P1N1			PC(34:3)	756.5529	[M+H]+															208.482	189.485	171.892	242.623	212.582	259.029	332.734	319.649	213.987	221.463	266.613	202.388	241.128	199.114	293.582	212.565	318.352	198.315	141.242	254	228.381	147.838	189.178	201.004	177.696	243.533	253.363	235.298	208.798	260.16	311.302	222.248
	C42H76O8P1N1			PC(34:4)	754.537	[M+H]+															10.4923	8.57211	8.70505	13.2708	9.82145	12.7347	16.3935	14.5061	10.2709	9.09152	13.7193	7.95056	10.7179	8.57276	12.3865	10.2812	14.0357	9.02822	6.34328	12.2635	12.1333	6.35259	10.0187	9.77468	9.39319	11.157	10.9938	11.2433	9.82723	11.414	14.2356	11.3952
	C43H86O8P1N1			PC(35:0)	776.6153	[M+H]+															1.36126	0.970031	0.549321	0.452181	0.879744	0.731761	1.07666	1.14954	0.462301	0.786884	1.21515	0.642591	1.49219	0.820314	0.581117	1.25535	0.533382	0.956989	1.36243	1.18654	1.66435	2.00868	1.05701	1.69352	1.13993	1.11156	1.42355	1.08589	1.72643	1.42292	0.996846	0.40525
	C43H84O8P1N1			PC(35:1)	774.5993	[M+H]+															15.403	14.297	12.0867	12.8031	14.0154	12.5597	12.1741	10.9883	11.379	11.8537	15.529	12.4374	14.4526	15.2876	13.65	13.6291	15.7657	12.8061	16.2924	12.5136	14.1355	18.1519	18.1691	15.0598	11.2909	12.7784	16.7581	16.9104	21.4416	15.8705	15.1572	11.6488
	C43H82O8P1N1			PC(35:2)	772.5838	[M+H]+															29.9868	27.9867	17.3625	21.8717	23.3988	18.4974	13.5507	16.0277	22.9471	23.6596	31.3732	23.8533	32.7901	32.8689	24.152	31.4233	22.5037	32.5117	34.0499	23.5953	25.6229	39.9242	27.3006	25.0565	15.2887	20.8823	24.5183	23.4346	26.8411	30.4495	34.2114	18.7516
	C43H80O8P1N1			PC(35:3)	770.5683	[M+H]+															8.08153	7.05789	5.92099	7.33539	8.15416	7.13277	6.53508	6.59856	7.36776	8.06765	9.42593	7.73881	10.2308	8.40954	7.99438	8.48243	8.59786	8.50904	8.66003	7.85231	8.51299	8.5338	8.09878	7.84038	5.34622	6.87905	7.81655	7.09479	7.0579	10.3251	10.6055	5.95394
	C43H78O8P1N1			PC(35:4)	768.5525	[M+H]+															1.6992	1.0954	0.750259	1.68036	1.81131	1.89039	1.97131	0.881994	0.787036	1.2303	1.77865	1.47859	1.66228	1.02492	2.07787	2.35375	1.52299	1.43694	1.94474	1.09249	1.30352	1.20259	0.458618	0.768318	1.20656	1.73754	1.23949	1.25597	1.4868	1.34018	2.12448	1.21756
	C44H88O8P1N1			PC(36:0)	790.6325	[M+H]+															3.49841	2.61727	1.48682	1.69169	2.49729	2.07498	0.62096	0.930653	2.28425	2.63441	2.51446	2.13254	2.45271	2.18415	1.8296	2.72743	1.7581	2.91609	3.62085	2.39772	2.52032	4.24096	2.72175	3.27821	0.684234	1.38914	2.18209	1.54809	2.28829	2.20509	2.02618	1.49726
