Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Zeitgeber time]	Unit	Term Source REF	Term Accession Number
iBAT ZT_09 rep3	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_09 rep3	9	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_09 rep4	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_09 rep4	9	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_12 rep1	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_12 rep1	12	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_12 rep2	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_12 rep2	12	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_12 rep3	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_12 rep3	12	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_12 rep4	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_12 rep4	12	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_15 rep1	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_15 rep1	15	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_15 rep2	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_15 rep2	15	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_15 rep3	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_15 rep3	15	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_15 rep4	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_15 rep4	15	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_18 rep1	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_18 rep1	18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_18 rep2	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_18 rep2	18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_18 rep3	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_18 rep3	18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_18 rep4	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_18 rep4	18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_21 rep1	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_21 rep1	21	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_21 rep2	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_21 rep2	21	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_21 rep3	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_21 rep3	21	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_21 rep4	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_21 rep4	21	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
