Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
20150707_QC_015_NEG	Extraction	120 μl isopropanol	none	20150707_QC_015_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_015_NEG	FILES/20150707_QC_015_NEG.raw.zip	Data transformation	20150707_QC_015_NEG		Metabolite identification	20150707_QC_015_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006103_NEG	Extraction	120 μl isopropanol	none	MS15006103_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006103_NEG	FILES/MS15006103_NEG.raw.zip	Data transformation	MS15006103_NEG		Metabolite identification	MS15006103_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006014_NEG	Extraction	120 μl isopropanol	none	MS15006014_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006014_NEG	FILES/MS15006014_NEG.raw.zip	Data transformation	MS15006014_NEG		Metabolite identification	MS15006014_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006104_NEG	Extraction	120 μl isopropanol	none	MS15006104_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006104_NEG	FILES/MS15006104_NEG.raw.zip	Data transformation	MS15006104_NEG		Metabolite identification	MS15006104_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006045_NEG	Extraction	120 μl isopropanol	none	MS15006045_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006045_NEG	FILES/MS15006045_NEG.raw.zip	Data transformation	MS15006045_NEG		Metabolite identification	MS15006045_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006105_NEG	Extraction	120 μl isopropanol	none	MS15006105_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006105_NEG	FILES/MS15006105_NEG.raw.zip	Data transformation	MS15006105_NEG		Metabolite identification	MS15006105_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_016_NEG	Extraction	120 μl isopropanol	none	20150707_QC_016_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_016_NEG	FILES/20150707_QC_016_NEG.raw.zip	Data transformation	20150707_QC_016_NEG		Metabolite identification	20150707_QC_016_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_017_NEG	Extraction	120 μl isopropanol	none	20150707_QC_017_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_017_NEG	FILES/20150707_QC_017_NEG.raw.zip	Data transformation	20150707_QC_017_NEG		Metabolite identification	20150707_QC_017_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_018_NEG	Extraction	120 μl isopropanol	none	20150707_QC_018_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_018_NEG	FILES/20150707_QC_018_NEG.raw.zip	Data transformation	20150707_QC_018_NEG		Metabolite identification	20150707_QC_018_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_019_NEG	Extraction	120 μl isopropanol	none	20150707_QC_019_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_019_NEG	FILES/20150707_QC_019_NEG.raw.zip	Data transformation	20150707_QC_019_NEG		Metabolite identification	20150707_QC_019_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_020_NEG	Extraction	120 μl isopropanol	none	20150707_QC_020_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_020_NEG	FILES/20150707_QC_020_NEG.raw.zip	Data transformation	20150707_QC_020_NEG		Metabolite identification	20150707_QC_020_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_021_NEG	Extraction	120 μl isopropanol	none	20150707_QC_021_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_021_NEG	FILES/20150707_QC_021_NEG.raw.zip	Data transformation	20150707_QC_021_NEG		Metabolite identification	20150707_QC_021_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_022_NEG	Extraction	120 μl isopropanol	none	20150707_QC_022_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_022_NEG	FILES/20150707_QC_022_NEG.raw.zip	Data transformation	20150707_QC_022_NEG		Metabolite identification	20150707_QC_022_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_023_NEG	Extraction	120 μl isopropanol	none	20150707_QC_023_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_023_NEG	FILES/20150707_QC_023_NEG.raw.zip	Data transformation	20150707_QC_023_NEG		Metabolite identification	20150707_QC_023_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_024_NEG	Extraction	120 μl isopropanol	none	20150707_QC_024_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_024_NEG	FILES/20150707_QC_024_NEG.raw.zip	Data transformation	20150707_QC_024_NEG		Metabolite identification	20150707_QC_024_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_027_NEG	Extraction	120 μl isopropanol	none	20150707_QC_027_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_027_NEG	FILES/20150707_QC_027_NEG.raw.zip	Data transformation	20150707_QC_027_NEG		Metabolite identification	20150707_QC_027_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_028_NEG	Extraction	120 μl isopropanol	none	20150707_QC_028_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_028_NEG	FILES/20150707_QC_028_NEG.raw.zip	Data transformation	20150707_QC_028_NEG		Metabolite identification	20150707_QC_028_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006016_NEG	Extraction	120 μl isopropanol	none	MS15006016_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006016_NEG	FILES/MS15006016_NEG.raw.zip	Data transformation	MS15006016_NEG		Metabolite identification	MS15006016_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006076_NEG	Extraction	120 μl isopropanol	none	MS15006076_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006076_NEG	FILES/MS15006076_NEG.raw.zip	Data transformation	MS15006076_NEG		Metabolite identification	MS15006076_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006106_NEG	Extraction	120 μl isopropanol	none	MS15006106_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006106_NEG	FILES/MS15006106_NEG.raw.zip	Data transformation	MS15006106_NEG		Metabolite identification	MS15006106_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006017_NEG	Extraction	120 μl isopropanol	none	MS15006017_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006017_NEG	FILES/MS15006017_NEG.raw.zip	Data transformation	MS15006017_NEG		Metabolite identification	MS15006017_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006077_NEG	Extraction	120 μl isopropanol	none	MS15006077_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006077_NEG	FILES/MS15006077_NEG.raw.zip	Data transformation	MS15006077_NEG		Metabolite identification	MS15006077_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006107_NEG	Extraction	120 μl isopropanol	none	MS15006107_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006107_NEG	FILES/MS15006107_NEG.raw.zip	Data transformation	MS15006107_NEG		Metabolite identification	MS15006107_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006018_NEG	Extraction	120 μl isopropanol	none	MS15006018_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006018_NEG	FILES/MS15006018_NEG.raw.zip	Data transformation	MS15006018_NEG		Metabolite identification	MS15006018_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_030_NEG	Extraction	120 μl isopropanol	none	20150707_QC_030_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_030_NEG	FILES/20150707_QC_030_NEG.raw.zip	Data transformation	20150707_QC_030_NEG		Metabolite identification	20150707_QC_030_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006078_NEG	Extraction	120 μl isopropanol	none	MS15006078_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006078_NEG	FILES/MS15006078_NEG.raw.zip	Data transformation	MS15006078_NEG		Metabolite identification	MS15006078_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006108_NEG	Extraction	120 μl isopropanol	none	MS15006108_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006108_NEG	FILES/MS15006108_NEG.raw.zip	Data transformation	MS15006108_NEG		Metabolite identification	MS15006108_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006049_NEG	Extraction	120 μl isopropanol	none	MS15006049_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006049_NEG	FILES/MS15006049_NEG.raw.zip	Data transformation	MS15006049_NEG		Metabolite identification	MS15006049_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006079_NEG	Extraction	120 μl isopropanol	none	MS15006079_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006079_NEG	FILES/MS15006079_NEG.raw.zip	Data transformation	MS15006079_NEG		Metabolite identification	MS15006079_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006109_NEG	Extraction	120 μl isopropanol	none	MS15006109_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006109_NEG	FILES/MS15006109_NEG.raw.zip	Data transformation	MS15006109_NEG		Metabolite identification	MS15006109_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006020_NEG	Extraction	120 μl isopropanol	none	MS15006020_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006020_NEG	FILES/MS15006020_NEG.raw.zip	Data transformation	MS15006020_NEG		Metabolite identification	MS15006020_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006080_NEG	Extraction	120 μl isopropanol	none	MS15006080_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006080_NEG	FILES/MS15006080_NEG.raw.zip	Data transformation	MS15006080_NEG		Metabolite identification	MS15006080_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006110_NEG	Extraction	120 μl isopropanol	none	MS15006110_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006110_NEG	FILES/MS15006110_NEG.raw.zip	Data transformation	MS15006110_NEG		Metabolite identification	MS15006110_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_031_NEG	Extraction	120 μl isopropanol	none	20150707_QC_031_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_031_NEG	FILES/20150707_QC_031_NEG.raw.zip	Data transformation	20150707_QC_031_NEG		Metabolite identification	20150707_QC_031_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006021_NEG	Extraction	120 μl isopropanol	none	MS15006021_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006021_NEG	FILES/MS15006021_NEG.raw.zip	Data transformation	MS15006021_NEG		Metabolite identification	MS15006021_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006051_NEG	Extraction	120 μl isopropanol	none	MS15006051_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006051_NEG	FILES/MS15006051_NEG.raw.zip	Data transformation	MS15006051_NEG		Metabolite identification	MS15006051_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006081_NEG	Extraction	120 μl isopropanol	none	MS15006081_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006081_NEG	FILES/MS15006081_NEG.raw.zip	Data transformation	MS15006081_NEG		Metabolite identification	MS15006081_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006111_NEG	Extraction	120 μl isopropanol	none	MS15006111_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006111_NEG	FILES/MS15006111_NEG.raw.zip	Data transformation	MS15006111_NEG		Metabolite identification	MS15006111_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006082_NEG	Extraction	120 μl isopropanol	none	MS15006082_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006082_NEG	FILES/MS15006082_NEG.raw.zip	Data transformation	MS15006082_NEG		Metabolite identification	MS15006082_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006112_NEG	Extraction	120 μl isopropanol	none	MS15006112_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006112_NEG	FILES/MS15006112_NEG.raw.zip	Data transformation	MS15006112_NEG		Metabolite identification	MS15006112_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006023_NEG	Extraction	120 μl isopropanol	none	MS15006023_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006023_NEG	FILES/MS15006023_NEG.raw.zip	Data transformation	MS15006023_NEG		Metabolite identification	MS15006023_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006053_NEG	Extraction	120 μl isopropanol	none	MS15006053_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006053_NEG	FILES/MS15006053_NEG.raw.zip	Data transformation	MS15006053_NEG		Metabolite identification	MS15006053_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_032_NEG	Extraction	120 μl isopropanol	none	20150707_QC_032_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_032_NEG	FILES/20150707_QC_032_NEG.raw.zip	Data transformation	20150707_QC_032_NEG		Metabolite identification	20150707_QC_032_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006083_NEG	Extraction	120 μl isopropanol	none	MS15006083_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006083_NEG	FILES/MS15006083_NEG.raw.zip	Data transformation	MS15006083_NEG		Metabolite identification	MS15006083_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006113_NEG	Extraction	120 μl isopropanol	none	MS15006113_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006113_NEG	FILES/MS15006113_NEG.raw.zip	Data transformation	MS15006113_NEG		Metabolite identification	MS15006113_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
