Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
MS15006003_NEG	Extraction	120 μl isopropanol	none	MS15006003_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006003_NEG	FILES/MS15006003_NEG.raw.zip	Data transformation	MS15006003_NEG		Metabolite identification	MS15006003_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006033_NEG	Extraction	120 μl isopropanol	none	MS15006033_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006033_NEG	FILES/MS15006033_NEG.raw.zip	Data transformation	MS15006033_NEG		Metabolite identification	MS15006033_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_011_NEG	Extraction	120 μl isopropanol	none	20150707_QC_011_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_011_NEG	FILES/20150707_QC_011_NEG.raw.zip	Data transformation	20150707_QC_011_NEG		Metabolite identification	20150707_QC_011_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006093_NEG	Extraction	120 μl isopropanol	none	MS15006093_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006093_NEG	FILES/MS15006093_NEG.raw.zip	Data transformation	MS15006093_NEG		Metabolite identification	MS15006093_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006004_NEG	Extraction	120 μl isopropanol	none	MS15006004_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006004_NEG	FILES/MS15006004_NEG.raw.zip	Data transformation	MS15006004_NEG		Metabolite identification	MS15006004_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006034_NEG	Extraction	120 μl isopropanol	none	MS15006034_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006034_NEG	FILES/MS15006034_NEG.raw.zip	Data transformation	MS15006034_NEG		Metabolite identification	MS15006034_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006094_NEG	Extraction	120 μl isopropanol	none	MS15006094_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006094_NEG	FILES/MS15006094_NEG.raw.zip	Data transformation	MS15006094_NEG		Metabolite identification	MS15006094_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006005_NEG	Extraction	120 μl isopropanol	none	MS15006005_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006005_NEG	FILES/MS15006005_NEG.raw.zip	Data transformation	MS15006005_NEG		Metabolite identification	MS15006005_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006035_NEG	Extraction	120 μl isopropanol	none	MS15006035_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006035_NEG	FILES/MS15006035_NEG.raw.zip	Data transformation	MS15006035_NEG		Metabolite identification	MS15006035_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006095_NEG	Extraction	120 μl isopropanol	none	MS15006095_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006095_NEG	FILES/MS15006095_NEG.raw.zip	Data transformation	MS15006095_NEG		Metabolite identification	MS15006095_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_012_NEG	Extraction	120 μl isopropanol	none	20150707_QC_012_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_012_NEG	FILES/20150707_QC_012_NEG.raw.zip	Data transformation	20150707_QC_012_NEG		Metabolite identification	20150707_QC_012_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006096_NEG	Extraction	120 μl isopropanol	none	MS15006096_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006096_NEG	FILES/MS15006096_NEG.raw.zip	Data transformation	MS15006096_NEG		Metabolite identification	MS15006096_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006007_NEG	Extraction	120 μl isopropanol	none	MS15006007_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006007_NEG	FILES/MS15006007_NEG.raw.zip	Data transformation	MS15006007_NEG		Metabolite identification	MS15006007_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006037_NEG	Extraction	120 μl isopropanol	none	MS15006037_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006037_NEG	FILES/MS15006037_NEG.raw.zip	Data transformation	MS15006037_NEG		Metabolite identification	MS15006037_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006097_NEG	Extraction	120 μl isopropanol	none	MS15006097_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006097_NEG	FILES/MS15006097_NEG.raw.zip	Data transformation	MS15006097_NEG		Metabolite identification	MS15006097_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006008_NEG	Extraction	120 μl isopropanol	none	MS15006008_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006008_NEG	FILES/MS15006008_NEG.raw.zip	Data transformation	MS15006008_NEG		Metabolite identification	MS15006008_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006038_NEG	Extraction	120 μl isopropanol	none	MS15006038_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006038_NEG	FILES/MS15006038_NEG.raw.zip	Data transformation	MS15006038_NEG		Metabolite identification	MS15006038_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_013_NEG	Extraction	120 μl isopropanol	none	20150707_QC_013_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_013_NEG	FILES/20150707_QC_013_NEG.raw.zip	Data transformation	20150707_QC_013_NEG		Metabolite identification	20150707_QC_013_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006098_NEG	Extraction	120 μl isopropanol	none	MS15006098_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006098_NEG	FILES/MS15006098_NEG.raw.zip	Data transformation	MS15006098_NEG		Metabolite identification	MS15006098_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006009_NEG	Extraction	120 μl isopropanol	none	MS15006009_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006009_NEG	FILES/MS15006009_NEG.raw.zip	Data transformation	MS15006009_NEG		Metabolite identification	MS15006009_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006039_NEG	Extraction	120 μl isopropanol	none	MS15006039_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006039_NEG	FILES/MS15006039_NEG.raw.zip	Data transformation	MS15006039_NEG		Metabolite identification	MS15006039_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006099_NEG	Extraction	120 μl isopropanol	none	MS15006099_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006099_NEG	FILES/MS15006099_NEG.raw.zip	Data transformation	MS15006099_NEG		Metabolite identification	MS15006099_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006010_NEG	Extraction	120 μl isopropanol	none	MS15006010_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006010_NEG	FILES/MS15006010_NEG.raw.zip	Data transformation	MS15006010_NEG		Metabolite identification	MS15006010_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006040_NEG	Extraction	120 μl isopropanol	none	MS15006040_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006040_NEG	FILES/MS15006040_NEG.raw.zip	Data transformation	MS15006040_NEG		Metabolite identification	MS15006040_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006100_NEG	Extraction	120 μl isopropanol	none	MS15006100_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006100_NEG	FILES/MS15006100_NEG.raw.zip	Data transformation	MS15006100_NEG		Metabolite identification	MS15006100_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_014_NEG	Extraction	120 μl isopropanol	none	20150707_QC_014_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_014_NEG	FILES/20150707_QC_014_NEG.raw.zip	Data transformation	20150707_QC_014_NEG		Metabolite identification	20150707_QC_014_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006011_NEG	Extraction	120 μl isopropanol	none	MS15006011_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006011_NEG	FILES/MS15006011_NEG.raw.zip	Data transformation	MS15006011_NEG		Metabolite identification	MS15006011_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006041_NEG	Extraction	120 μl isopropanol	none	MS15006041_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006041_NEG	FILES/MS15006041_NEG.raw.zip	Data transformation	MS15006041_NEG		Metabolite identification	MS15006041_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006101_NEG	Extraction	120 μl isopropanol	none	MS15006101_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006101_NEG	FILES/MS15006101_NEG.raw.zip	Data transformation	MS15006101_NEG		Metabolite identification	MS15006101_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006012_NEG	Extraction	120 μl isopropanol	none	MS15006012_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006012_NEG	FILES/MS15006012_NEG.raw.zip	Data transformation	MS15006012_NEG		Metabolite identification	MS15006012_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006042_NEG	Extraction	120 μl isopropanol	none	MS15006042_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006042_NEG	FILES/MS15006042_NEG.raw.zip	Data transformation	MS15006042_NEG		Metabolite identification	MS15006042_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006102_NEG	Extraction	120 μl isopropanol	none	MS15006102_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006102_NEG	FILES/MS15006102_NEG.raw.zip	Data transformation	MS15006102_NEG		Metabolite identification	MS15006102_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006013_NEG	Extraction	120 μl isopropanol	none	MS15006013_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006013_NEG	FILES/MS15006013_NEG.raw.zip	Data transformation	MS15006013_NEG		Metabolite identification	MS15006013_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006043_NEG	Extraction	120 μl isopropanol	none	MS15006043_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006043_NEG	FILES/MS15006043_NEG.raw.zip	Data transformation	MS15006043_NEG		Metabolite identification	MS15006043_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
