Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Genotype]	Term Source REF	Term Accession Number	Factor Value[Stimulation]	Term Source REF	Term Accession Number
WT_LPS_4	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	WT_LPS_4	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
WT_LPS_5	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	WT_LPS_5	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
WT_LPS_6	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	WT_LPS_6	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
Ko_01	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	Ko_01	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
Ko_02	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	Ko_02	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
Ko_03	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	Ko_03	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
Ko_04	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	Ko_04	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
Ko_05	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	Ko_05	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
Ko_06	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	Ko_06	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
KO24hLPS_01	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	KO24hLPS_01	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
KO24hLPS_02	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	KO24hLPS_02	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
KO24hLPS_03	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	KO24hLPS_03	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
KO24hLPS_04	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	KO24hLPS_04	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
KO24hLPS_05	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	KO24hLPS_05	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
KO24hLPS_06	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	KO24hLPS_06	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
Wt_01	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	Wt_01	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
Wt_02	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	Wt_02	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
